flight_date,departure_airport,departure_icao,departure_iata,departure_time,arrival_airport,arrival_icao,arrival_iata,airline_name,airline_icao,flight_number,flight_iata,flight_icao,lat1,long1,lat2,long2
01/01/2022,Spokane International,KGEG,GEG,2022-01-01T14:19:00+00:00,Sky Harbor International,KPHX,PHX,Southwest Airlines,SWA,2386,WN2386,SWA2386,,,,
01/01/2022,Seattle-Tacoma International,KSEA,SEA,2022-01-01T11:27:00+00:00,Spokane International,KGEG,GEG,Korean Air,KAL,3059,KE3059,KAL3059,,,,
01/01/2022,Seattle-Tacoma International,KSEA,SEA,2022-01-01T13:29:00+00:00,Spokane International,KGEG,GEG,Korean Air,KAL,6013,KE6013,KAL6013,,,,
01/01/2022,Seattle-Tacoma International,KSEA,SEA,2022-01-01T12:48:00+00:00,Spokane International,KGEG,GEG,Singapore Airlines,SIA,1230,SQ1230,SIA1230,,,,
01/01/2022,Sun Valley,KSUN,SUN,2022-01-01T08:50:00+00:00,Palm Springs Metropolitan Area,KPSP,PSP,AirSF Flight Services,XSN,61,,XSN61,,,,
01/01/2022,Sun Valley,KSUN,SUN,,John Wayne,KSNA,SNA,Flexjet,LXJ,347,LXJ347,LXJ347,,,,
01/01/2022,Salt Lake City International,KSLC,SLC,,Sun Valley,KSUN,SUN,Corporate Air,CPT,8827,CPT8827,CPT8827,,,,
01/01/2022,Dallas/Fort Worth International,KDFW,DFW,2022-01-01T12:42:00+00:00,Hartsfield-jackson Atlanta International,KATL,ATL,American Airlines,AAL,1008,AA1008,AAL1008,,,,
01/01/2022,Miami International Airport,KMIA,MIA,2022-01-01T14:52:00+00:00,Hartsfield-jackson Atlanta International,KATL,ATL,Delta Air Lines,DAL,2702,DL2702,DAL2702,,,,
01/01/2022,Philadelphia International,KPHL,PHL,2022-01-01T13:58:00+00:00,Hartsfield-jackson Atlanta International,KATL,ATL,Spirit Airlines,NKS,877,NK877,NKS877,,,,
01/01/2022,Kansas City International Airport,KMCI,MCI,2022-01-01T17:20:00+00:00,Metropolitan Oak International,KOAK,OAK,Southwest Airlines,SWA,1575,WN1575,SWA1575,,,,
01/01/2022,Port Columbus International,KCMH,CMH,2022-01-01T15:28:00+00:00,Denver International,KDEN,DEN,Southwest Airlines,SWA,3649,WN3649,SWA3649,,,,
01/01/2022,Port Columbus International,KCMH,CMH,2022-01-01T15:48:00+00:00,Orlando International,KMCO,MCO,Southwest Airlines,SWA,1253,WN1253,SWA1253,,,,
01/01/2022,Port Columbus International,KCMH,CMH,2022-01-01T15:48:00+00:00,John F Kennedy International,KJFK,JFK,JetBlue Airways,JBU,4777,B64777,JBU4777,,,,
01/01/2022,Port Columbus International,KCMH,CMH,2022-01-01T15:51:00+00:00,Miami International Airport,KMIA,MIA,Qatar Airways,QTR,2475,QR2475,QTR2475,,,,
01/01/2022,Port Columbus International,KCMH,CMH,2022-01-01T15:59:00+00:00,Charlotte Douglas,KCLT,CLT,American Airlines,AAL,4676,AA4676,AAL4676,,,,
01/01/2022,Port Columbus International,KCMH,CMH,2022-01-01T16:02:00+00:00,Dallas/Fort Worth International,KDFW,DFW,Alaska Airlines,ASA,6279,AS6279,ASA6279,,,,
01/01/2022,Port Columbus International,KCMH,CMH,,Orlando International,KMCO,MCO,Spirit Airlines,NKS,1217,NK1217,NKS1217,,,,
01/01/2022,Port Columbus International,KCMH,CMH,2022-01-01T16:15:00+00:00,Love Field,KDAL,DAL,Southwest Airlines,SWA,1517,WN1517,SWA1517,,,,
01/01/2022,Port Columbus International,KCMH,CMH,,Hartsfield-jackson Atlanta International,KATL,ATL,Air France,AFR,2414,AF2414,AFR2414,,,,
01/01/2022,Port Columbus International,KCMH,CMH,2022-01-01T16:22:00+00:00,John F Kennedy International,KJFK,JFK,Air France,AFR,2836,AF2836,AFR2836,,,,
01/01/2022,University Of Illinois Willard,KCMI,CMI,2022-01-01T15:44:00+00:00,Dallas/Fort Worth International,KDFW,DFW,Qatar Airways,QTR,7630,QR7630,QTR7630,,,,
01/01/2022,Tri-cities,KPSC,PSC,2022-01-01T18:17:00+00:00,Seattle-Tacoma International,KSEA,SEA,Alaska Airlines,ASA,2259,AS2259,ASA2259,,,,
01/01/2022,Chicago O'hare International,KORD,ORD,2022-01-01T09:57:00+00:00,Outagamie County,KATW,ATW,Air Wisconsin,AWI,9413,ZW9413,AWI9413,,,,
01/01/2022,Tri-cities,KPSC,PSC,2022-01-01T13:26:00+00:00,Salt Lake City International,KSLC,SLC,Delta Air Lines,DAL,3782,DL3782,DAL3782,,,,
01/01/2022,Seattle-Tacoma International,KSEA,SEA,2022-01-01T11:50:00+00:00,Tri-cities,KPSC,PSC,Korean Air,KAL,3137,KE3137,KAL3137,,,,
01/01/2022,Spokane International,KGEG,GEG,,Tri-cities,KPSC,PSC,Empire Airlines,CFS,8804,EM8804,CFS8804,,,,
01/01/2022,Boeing Field/King County International Airport,KBFI,BFI,,Tri-cities,KPSC,PSC,Ameriflight,AMF,1988,A81988,AMF1988,,,,
01/01/2022,Lihue,PHLI,LIH,2022-01-01T11:02:00+00:00,Mineta San Jose International Airport,KSJC,SJC,Alaska Airlines,ASA,844,AS844,ASA844,,,,
01/01/2022,Joe Foss Field Airport,KFSD,FSD,2022-01-01T14:50:00+00:00,Chicago O'hare International,KORD,ORD,Alaska Airlines,ASA,6642,AS6642,ASA6642,,,,
01/01/2022,Palm Springs Metropolitan Area,KPSP,PSP,2022-01-01T13:02:00+00:00,Love Field,KDAL,DAL,Southwest Airlines,SWA,3189,WN3189,SWA3189,,,,
01/01/2022,Palm Springs Metropolitan Area,KPSP,PSP,2022-01-01T12:50:00+00:00,Salt Lake City International,KSLC,SLC,Delta Air Lines,DAL,4018,DL4018,DAL4018,,,,
01/01/2022,Denver International,KDEN,DEN,2022-01-01T12:43:00+00:00,Palm Springs Metropolitan Area,KPSP,PSP,Air Canada,ACA,5144,AC5144,ACA5144,,,,
01/01/2022,Austin-bergstrom International,KAUS,AUS,2022-01-01T14:18:00+00:00,Denver International,KDEN,DEN,Volaris,VOI,2671,Y42671,VOI2671,,,,
01/01/2022,Austin-bergstrom International,KAUS,AUS,2022-01-01T14:05:00+00:00,Charlotte Douglas,KCLT,CLT,American Airlines,AAL,885,AA885,AAL885,,,,
01/01/2022,Austin-bergstrom International,KAUS,AUS,2022-01-01T14:09:00+00:00,Sarasota/Bradenton International,KSRQ,SRQ,Southwest Airlines,SWA,1548,WN1548,SWA1548,,,,
01/01/2022,Austin-bergstrom International,KAUS,AUS,2022-01-01T14:24:00+00:00,El Paso International Airport,KELP,ELP,Southwest Airlines,SWA,2233,WN2233,SWA2233,,,,
01/01/2022,Austin-bergstrom International,KAUS,AUS,2022-01-01T14:36:00+00:00,John Wayne,KSNA,SNA,Southwest Airlines,SWA,2680,WN2680,SWA2680,,,,
01/01/2022,Austin-bergstrom International,KAUS,AUS,2022-01-01T13:38:00+00:00,Pittsburgh International,KPIT,PIT,United Airlines,UAL,3301,UA3301,UAL3301,,,,
01/01/2022,Austin-bergstrom International,KAUS,AUS,2022-01-01T14:14:00+00:00,Palm Springs Metropolitan Area,KPSP,PSP,American Airlines,AAL,7637,AA7637,AAL7637,,,,
01/01/2022,Austin-bergstrom International,KAUS,AUS,2022-01-01T14:31:00+00:00,Denver International,KDEN,DEN,Southwest Airlines,SWA,3557,WN3557,SWA3557,,,,
01/01/2022,Buchanan Field,KCCR,CCR,,Austin-bergstrom International,KAUS,AUS,NetJets Aviation,EJA,585,1I585,EJA585,,,,
01/01/2022,Kahului,PHOG,OGG,2022-01-01T10:55:00+00:00,Honolulu International,PHNL,HNL,Jet Linx Aviation,JTL,6459,JL6459,JTL6459,,,,
01/01/2022,Kahului,PHOG,OGG,2022-01-01T11:05:00+00:00,Lihue,PHLI,LIH,United Airlines,UAL,7895,UA7895,UAL7895,,,,
01/01/2022,Adams Field Airport,KLIT,LIT,2022-01-01T14:47:00+00:00,Dallas/Fort Worth International,KDFW,DFW,Alaska Airlines,ASA,4044,AS4044,ASA4044,,,,
01/01/2022,Adams Field Airport,KLIT,LIT,2022-01-01T14:59:00+00:00,Hartsfield-jackson Atlanta International,KATL,ATL,Southwest Airlines,SWA,2800,WN2800,SWA2800,,,,
01/01/2022,Dallas/Fort Worth International,KDFW,DFW,2022-01-01T13:01:00+00:00,Asheville Regional Airport,KAVL,AVL,Qatar Airways,QTR,7725,QR7725,QTR7725,,,,
01/01/2022,Detroit Metropolitan Wayne County,KDTW,DTW,2022-01-01T14:09:00+00:00,Alpena County Regional,KAPN,APN,Delta Air Lines,DAL,4252,DL4252,DAL4252,,,,
01/01/2022,Dallas/Fort Worth International,KDFW,DFW,2022-01-01T14:17:00+00:00,Capital,KSPI,SPI,Qatar Airways,QTR,7814,QR7814,QTR7814,,,,
01/01/2022,Yellowstone Regional,KCOD,COD,2022-01-01T13:40:00+00:00,Denver International,KDEN,DEN,United Airlines,UAL,4706,UA4706,UAL4706,,,,
01/01/2022,Municipal/Baer Field,KFWA,FWA,2022-01-01T15:42:00+00:00,Aspen,KASE,ASE,NetJets Aviation,EJA,583,1I583,EJA583,,,,
01/01/2022,Municipal/Baer Field,KFWA,FWA,,Syracuse Hancock International Airport,KSYR,SYR,American Airlines,AAL,9914,AA9914,AAL9914,,,,
01/01/2022,Hartsfield-jackson Atlanta International,KATL,ATL,2022-01-01T15:24:00+00:00,Salt Lake City International,KSLC,SLC,Delta Air Lines,DAL,547,DL547,DAL547,,,,
01/01/2022,Colorado Springs,KCOS,COS,2022-01-01T14:21:00+00:00,Denver International,KDEN,DEN,Air Canada,ACA,4191,AC4191,ACA4191,,,,
