BA4806,35053.031663833215,kg,GHG Protocol,US,Air Travel,fuel_combustion
LH9376,19738.10389823431,kg,GHG Protocol,US,Air Travel,fuel_combustion
SK8733,36714.918650083506,kg,GHG Protocol,US,Air Travel,fuel_combustion
AM3656,7158.897786924362,kg,GHG Protocol,US,Air Travel,fuel_combustion
FJ5872,5548.14578486638,kg,GHG Protocol,US,Air Travel,fuel_combustion
UA362,9809.394467559452,kg,GHG Protocol,US,Air Travel,fuel_combustion
UA218,6332.215542481906,kg,GHG Protocol,US,Air Travel,fuel_combustion
UA344,2181.7593255388533,kg,GHG Protocol,US,Air Travel,fuel_combustion
AA8,23982.30758619661,kg,GHG Protocol,US,Air Travel,fuel_combustion
UA252,30825.872970601686,kg,GHG Protocol,US,Air Travel,fuel_combustion
BA4806,20760.80358208065,kg,GHG Protocol,US,Air Travel,fuel_combustion
LH9376,23948.217596735067,kg,GHG Protocol,US,Air Travel,fuel_combustion
SK8733,25201.024709446832,kg,GHG Protocol,US,Air Travel,fuel_combustion
AM3656,4124.888724846895,kg,GHG Protocol,US,Air Travel,fuel_combustion
FJ5872,12971.240990117712,kg,GHG Protocol,US,Air Travel,fuel_combustion
UA362,33058.76728033286,kg,GHG Protocol,US,Air Travel,fuel_combustion
UA218,7721.382613039847,kg,GHG Protocol,US,Air Travel,fuel_combustion
UA344,5352.128345462499,kg,GHG Protocol,US,Air Travel,fuel_combustion
AA8,2624.9291885389325,kg,GHG Protocol,US,Air Travel,fuel_combustion
UA252,4499.878608923885,kg,GHG Protocol,US,Air Travel,fuel_combustion
BA4806,9212.819651982423,kg,GHG Protocol,US,Air Travel,fuel_combustion
LH9376,33646.8195985445,kg,GHG Protocol,US,Air Travel,fuel_combustion
SK8733,35470.63403473714,kg,GHG Protocol,US,Air Travel,fuel_combustion
AM3656,10218.474341097988,kg,GHG Protocol,US,Air Travel,fuel_combustion
FJ5872,1491.4370389425753,kg,GHG Protocol,US,Air Travel,fuel_combustion
UA362,5292.470863904796,kg,GHG Protocol,US,Air Travel,fuel_combustion
UA218,16209.789988964449,kg,GHG Protocol,US,Air Travel,fuel_combustion
UA344,7960.0125392706595,kg,GHG Protocol,US,Air Travel,fuel_combustion
