,city,state_id,latitude,longitude,population,airport,distance
109,Lancaster,PA,40.0421,-76.3012,401524,,
110,Arlington,TX,32.6998,-97.125,398854,,
111,Stockton,CA,37.9765,-121.3109,397264,SCK,0.099337284277457
112,Poughkeepsie,NY,41.6949,-73.921,394760,,
113,Augusta,GA,33.3645,-82.0708,390809,AGS,0.10577194844580619
114,Boise,ID,43.6007,-116.2312,389280,BOI,0.03599060446296974
115,Oxnard,CA,34.1963,-119.1815,387647,,
116,Scranton,PA,41.4044,-75.6649,384250,AVP,0.08892958518608313
117,Modesto,CA,37.6374,-121.0028,383134,,
118,Kissimmee,FL,28.3042,-81.4164,382720,,
119,Aurora,CO,39.7087,-104.7273,379289,DEN,0.15682665572997956
120,Youngstown,OH,41.0993,-80.6463,378732,,
121,Fayetteville,AR,36.0713,-94.166,351246,,
122,Anaheim,CA,33.839,-117.8572,350365,,
123,Pensacola,FL,30.4427,-87.1886,346921,PNS,0.031096312943659592
124,Victorville,CA,34.5277,-117.3536,346789,,
125,Lancaster,CA,34.6935,-118.1753,343304,,
126,Greensboro,NC,36.0956,-79.8269,343090,,
127,Corpus Christi,TX,27.726,-97.3755,342464,CRP,0.13492108250624818
128,Fort Wayne,IN,41.0886,-85.1437,334122,FWA,0.12282842149355863
129,Santa Ana,CA,33.7366,-117.8819,332318,,
130,Flint,MI,43.0235,-83.6922,332190,FNT,0.08072876094311328
131,Fayetteville,NC,35.0846,-78.9776,327435,,
132,Jackson,MS,32.3163,-90.2124,325350,,
133,Santa Rosa,CA,38.4458,-122.7067,324634,,
134,Lansing,MI,42.7142,-84.5601,324286,,
135,San Juan,PR,18.4037,-66.0636,323279,,
136,Lexington,KY,38.0423,-84.4587,323152,,
137,Ann Arbor,MI,42.2755,-83.7312,322267,,
138,Henderson,NV,36.0133,-115.038,320189,,
139,Huntsville,AL,34.6988,-86.6412,319249,,
140,Mobile,AL,30.6783,-88.1162,315502,,
141,Fort Collins,CO,40.5478,-105.0656,312666,,
142,Asheville,NC,35.5704,-82.5536,312507,AVL,0.13641558994942826
143,Santa Clarita,CA,34.4175,-118.4964,312446,,
144,St. Paul,MN,44.9477,-93.104,308096,,
145,Antioch,CA,37.9789,-121.7958,302419,,
146,Lakeland,FL,28.0556,-81.9545,302284,,
147,Trenton,NJ,40.2236,-74.7641,290716,TTN,0.07592724040843803
148,Lincoln,NE,40.809,-96.6788,289490,LNK,0.08957762553183314
149,Springfield,MO,37.1943,-93.2916,288090,SGF,0.11076115406626345
150,Anchorage,AK,61.1508,-149.1091,288000,CDV,3.6957099044462502
151,Plano,TX,33.0502,-96.7487,287677,,
152,Irvine,CA,33.6772,-117.7738,287401,,
153,Davenport,IA,41.5563,-90.6052,285362,,
154,Rockford,IL,42.2597,-89.0641,282762,,
155,Newark,NJ,40.7245,-74.1725,282011,,
156,South Bend,IN,41.6767,-86.2696,280498,SBN,0.05568194028390329
157,Shreveport,LA,32.4656,-93.7956,280062,SHV,0.03487196447363598
158,Round Lake Beach,IL,42.379,-88.0811,279381,,
159,Savannah,GA,32.0281,-81.1784,276295,,
160,Myrtle Beach,SC,33.7096,-78.8843,275579,MYR,0.0514890170434509
161,Chula Vista,CA,32.6281,-117.0145,274492,,
162,Eugene,OR,44.0563,-123.1173,273439,EUG,0.11836297401341414
163,Canton,OH,40.8075,-81.3677,269418,,
164,Lubbock,TX,33.5659,-101.8878,267648,LBB,0.11187618870992595
165,Reading,PA,40.34,-75.9267,267155,,
166,Winter Haven,FL,28.0118,-81.7017,267069,,
167,Salem,OR,44.9231,-123.0246,266804,,
168,St. Petersburg,FL,27.7931,-82.6652,265351,,
169,Lafayette,LA,30.2084,-92.0323,264357,LFT,0.043620462146112614
170,Laredo,TX,27.5629,-99.4875,262491,LRD,0.032205241445604174
171,Jersey City,NJ,40.7161,-74.0682,262075,,
172,Concord,NC,35.3933,-80.6366,261801,,
173,Columbus,GA,32.51,-84.8771,261445,CSG,0.0598257041496453
174,Chandler,AZ,33.2826,-111.8516,261165,,
175,McKinney,TX,33.2015,-96.6669,258277,,
176,Scottsdale,AZ,33.6872,-111.8651,258069,,
177,Killeen,TX,31.0754,-97.7296,258009,,
178,Tallahassee,FL,30.4551,-84.2526,257601,TLH,0.11010265261291675
179,Peoria,IL,40.752,-89.6153,256286,PIA,0.1179409939583285
180,Wilmington,NC,34.21,-77.8866,255616,ILM,0.06176908086939709
181,Montgomery,AL,32.3473,-86.2666,254634,MGM,0.13113155687888112
182,Gilbert,AZ,33.3101,-111.7463,254114,,
183,Glendale,AZ,33.5791,-112.2311,252381,,
184,North Las Vegas,NV,36.288,-115.0901,251974,,
185,Chesapeake,VA,36.6778,-76.3024,244835,,
186,Barnstable,MA,41.6722,-70.3599,242847,MVY,0.3790871326340983
187,Norfolk,VA,36.8945,-76.259,242742,ORF,0.05899577616151972
188,Fremont,CA,37.5265,-121.9852,241110,,
189,Kennewick,WA,46.1978,-119.1732,240735,,
190,Garland,TX,32.91,-96.6305,239928,,
191,Irving,TX,32.8584,-96.9702,239798,,
192,Visalia,CA,36.3276,-119.3269,237386,,
193,Atlantic City,NJ,39.3797,-74.4527,237054,,
194,Paradise,NV,36.0807,-115.1369,235087,LAS,0.017159173443085093
195,Nashua,NH,42.7491,-71.491,233917,,
196,Arlington,VA,38.8786,-77.1011,233464,,
197,Hialeah,FL,25.8696,-80.3046,233339,,
198,York,PA,39.9651,-76.7315,233184,,
199,Evansville,IN,37.9881,-87.5341,230427,EVV,0.0556962371616731
200,Avondale,AZ,33.3858,-112.3236,227289,,
201,Brownsville,TX,25.998,-97.4565,227239,BRO,0.09630741392961659
202,Gulfport,MS,30.4271,-89.0703,220987,GPT,0.014166226344372498
203,Appleton,WI,44.2779,-88.3891,220570,,
204,Bremerton,WA,47.5436,-122.7122,218400,,
205,Hickory,NC,35.7425,-81.323,218323,,
206,Tacoma,WA,47.2431,-122.4531,217827,,
207,San Bernardino,CA,34.1417,-117.2946,215784,,
208,College Station,TX,30.5852,-96.296,215243,CLL,0.07111273081593447
209,Kalamazoo,MI,42.2749,-85.5882,215193,,
210,Thousand Oaks,CA,34.1914,-118.8755,215029,,
211,Roanoke,VA,37.2785,-79.958,214674,,
212,Fontana,CA,34.0968,-117.4599,214547,,
213,Moreno Valley,CA,33.9244,-117.2045,213055,,
214,North Port,FL,27.0577,-82.1975,209070,,
215,Fargo,ND,46.8652,-96.8292,208675,FAR,0.057993404925818476
216,Green Bay,WI,44.515,-87.9896,207557,,
217,Spring Valley,NV,36.0987,-115.2619,207127,,
218,Amarillo,TX,35.1988,-101.8311,205603,AMA,0.12621010960529702
219,Portland,ME,43.6773,-70.2715,203969,,
220,Santa Barbara,CA,34.4285,-119.7202,202401,,
221,Gainesville,FL,29.6804,-82.3458,202335,GNV,0.06941384540025344
222,Olympia,WA,47.0417,-122.8959,200915,,
223,Frisco,TX,33.1555,-96.8215,200490,,
224,Yonkers,NY,40.9466,-73.8674,200370,,
225,Norwich,CT,41.5495,-72.0882,200289,,
226,Glendale,CA,34.1818,-118.2468,199303,,
227,Huntington Beach,CA,33.696,-118.0025,199223,,
228,Deltona,FL,28.905,-81.2137,198361,,
229,Aurora,IL,41.7637,-88.2901,197757,,
230,Tempe,AZ,33.3881,-111.9318,195805,PHX,0.09142033240478398
231,Overland Park,KS,38.887,-94.687,195494,,
232,Grand Prairie,TX,32.6872,-97.0209,194543,,
233,Sunrise Manor,NV,36.1785,-115.049,193781,,
234,Waco,TX,31.5598,-97.1881,192315,,
235,Salinas,CA,36.6884,-121.6317,190972,,
236,Waterbury,CT,41.5583,-73.0361,189614,,
237,Clarksville,TN,36.5695,-87.342,188746,,
238,Cedar Rapids,IA,41.9665,-91.6782,188038,CID,0.08512497059247738
239,Sioux Falls,SD,43.5397,-96.732,187239,FSD,0.04388269675691495
240,Huntington,WV,38.4109,-82.4344,186034,,
241,Ontario,CA,34.0393,-117.6064,185010,ONT,0.01865018462643122
242,Hagerstown,MD,39.6401,-77.7217,184755,,
243,Erie,PA,42.1168,-80.0733,184484,ERI,0.10302531822852777
244,Vancouver,WA,45.6366,-122.5967,184463,PDX,0.04685812298844206
245,Nampa,ID,43.5845,-116.5631,184428,,
246,Spartanburg,SC,34.9437,-81.9257,182701,,
247,Gastonia,NC,35.2494,-81.1853,182581,,
248,Fort Lauderdale,FL,26.1412,-80.1464,182437,,
249,Lorain,OH,41.4409,-82.184,180279,,
250,Murfreesboro,TN,35.8492,-86.4119,179951,,
251,High Point,NC,35.9907,-79.9938,179913,,
252,Newport News,VA,37.1051,-76.5185,179225,PHF,0.0297827338815681
253,Rancho Cucamonga,CA,34.1248,-117.5666,177603,,
254,Hemet,CA,33.7341,-116.9969,177253,,
255,Santa Cruz,CA,36.9789,-122.0346,176428,,
256,Danbury,CT,41.4016,-73.471,176030,,
257,Peoria,AZ,33.7844,-112.2989,175961,,
258,Oceanside,CA,33.2247,-117.3083,175742,,
259,Elk Grove,CA,38.416,-121.3842,174775,,
260,Pembroke Pines,FL,26.0128,-80.3382,173591,,
261,Vallejo,CA,38.1133,-122.2358,173256,,
262,Garden Grove,CA,33.7787,-117.9601,171644,,
263,Enterprise,NV,36.0164,-115.2208,171108,,
264,Medford,OR,42.3372,-122.8537,170876,MFR,0.037308134075562244
265,Cary,NC,35.782,-78.8191,170282,,
266,Marysville,WA,48.0809,-122.1561,170009,,
