city,state_id,latitude,longitude,population,station,distance
Dearborn,MI,42.3127,-83.2129,93932,USC00202016,0.052097313
Portsmouth,NH,43.058,-70.7826,93069,USC00273626,0.056803257
Slidell,LA,30.2881,-89.7826,93040,USW00053865,0.068237493
Lawton,OK,34.6176,-98.4203,93025,USW00003950,0.059970177
Auburn,AL,32.6087,-85.4899,92777,USC00016129,0.064859386
Rapid City,SD,44.0716,-103.2204,92664,USC00396948,0.009662815
Suffolk,VA,36.6953,-76.6398,92108,USC00448192,0.051480579
Conroe,TX,30.3239,-95.4825,91079,USC00411956,0.006328507
Livermore,CA,37.6862,-121.7608,90923,USC00044997,0.010329361
Muncie,IN,40.1989,-85.395,87879,USC00126023,0.048177277
State College,PA,40.7909,-77.8568,87723,USC00368449,0.010586406
Town 'n' Country,FL,28.0108,-82.576,87338,USW00012842,0.059592786
Decatur,IL,39.8556,-88.9337,87236,USC00112193,0.031630365
Jackson,MI,42.2431,-84.4037,87110,USW00014833,0.056631303
Redwood City,CA,37.5026,-122.2252,85925,USC00047339,0.029161104
Napa,CA,38.2976,-122.3011,85239,USC00046074,0.041484575
Newport Beach,CA,33.6151,-117.8669,84534,USC00046175,0.020564289
Franklin,TN,35.9216,-86.8525,83097,USC00403280,0.02569066
Melbourne,FL,28.1085,-80.6627,83029,USC00085612,0.010084642
Port Huron,MI,42.9822,-82.4387,82970,USC00206680,0.020599272
Springfield,OH,39.9297,-83.7957,82820,USC00337926,0.052804982
Cranston,RI,41.7658,-71.4857,81456,USC00371875,0.120767214
Warwick,RI,41.7062,-71.4334,81004,USW00014765,0.016345911
Newark,OH,40.0705,-82.4251,80451,USC00335747,0.020983088
Williamsburg,VA,37.2692,-76.7076,80441,USC00449151,0.032709937
Hattiesburg,MS,31.3074,-89.317,80138,USW00013833,0.071733397
Alexandria,LA,31.2923,-92.4702,80129,USC00160103,0.048478965
Lawrence,MA,42.7003,-71.1626,80028,USC00194105,0.003448188
Buckeye,AZ,33.4314,-112.6429,79620,USC00021027,0.079428406
Georgetown,TX,30.6668,-97.6953,79604,USC00413507,0.02721213
Cheyenne,WY,41.1351,-104.79,79484,USC00481676,0.023180207
Kokomo,IN,40.464,-86.1277,79351,USC00124662,0.048448426
Alton,IL,38.9034,-90.1523,78905,USC00110137,0.036542277
Loveland,CO,40.4166,-105.0623,78877,USC00058839,0.148273396
Anderson,SC,34.5211,-82.6479,78512,USC00380165,0.014703483
Jonesboro,AR,35.8212,-90.6791,78394,USC00033734,0.034363935
Texarkana,TX,33.4487,-94.0815,77964,USC00418942,0.012619429
Alameda,CA,37.767,-122.2672,77624,USC00046336,0.031443441
Kankakee,IL,41.1019,-87.8643,77429,USC00114603,0.03943325
Watsonville,CA,36.9206,-121.7706,77352,USC00049473,0.010309704
San Marcos,TX,29.8736,-97.9381,76218,USC00417983,0.01482734
Oshkosh,WI,44.0228,-88.5619,75536,USC00476330,0.004650527
Pasco,WA,46.2506,-119.1304,75432,USC00457247,0.156303871
Conway,AR,35.0754,-92.4694,74951,USC00031596,0.034940092
Altoona,PA,40.5082,-78.4007,74829,USC00360140,0.067326741
Winchester,VA,39.1735,-78.1746,74417,USC00449186,0.058723505
Owensboro,KY,37.7574,-87.1173,74068,USC00156094,0.060963596
Jackson,TN,35.6535,-88.8353,74065,USC00404568,0.058268688
Wausau,WI,44.962,-89.6459,73593,USC00478969,0.028373403
Camden,NJ,39.9362,-75.1073,73562,USC00366878,0.042914083
Mansfield,OH,40.7656,-82.5275,73326,USW00014891,0.055671142
Pocatello,ID,42.8724,-112.4646,72878,USC00107210,0.017923761
New Britain,CT,41.6758,-72.7862,72495,USC00067432,0.04370286
Morgantown,WV,39.638,-79.9468,72458,USW00013736,0.028702294
Dothan,AL,31.2335,-85.4069,72396,USC00012377,0.053437534
Wenatchee,WA,47.4356,-120.3283,72350,USC00459074,0.019452015
Redlands,CA,34.0511,-117.1712,71513,USC00047306,0.027491271
St. Charles,MO,38.7954,-90.5157,71028,USC00237397,0.018873866
Janesville,WI,42.6855,-89.0136,70755,USC00470045,0.069753355
El Paso de Robles,CA,35.6394,-120.656,70248,USW00093209,0.040210869
Wilmington,DE,39.7415,-75.5413,70166,USC00079605,0.032400154
Casas Adobes,AZ,32.3423,-111.0114,70166,USC00028590,0.030766865
West Bend,WI,43.4184,-88.1824,69504,USC00479053,0.025800888
Sheboygan,WI,43.7403,-87.7316,69393,USC00471605,0.031658316
Lake Elsinore,CA,33.6847,-117.3344,69283,USC00042805,0.011473883
Daytona Beach,FL,29.1994,-81.0982,69186,USW00012834,0.03694069
Lima,OH,40.741,-84.1121,68878,USC00334551,0.023769308
Decatur,AL,34.573,-86.9906,68867,USC00012209,0.056767752
Bossier City,LA,32.5227,-93.6666,68159,USW00053905,0.081385338
Dubuque,IA,42.5008,-90.7067,68109,USW00094908,0.102488812
Victoria,TX,28.8285,-96.985,68078,USC00419367,0.06543791
Ames,IA,42.0259,-93.6215,67910,USW00094989,0.035575032
Casper,WY,42.842,-106.3207,67598,USC00481569,0.034370281
DeKalb,IL,41.9313,-88.7482,66959,USC00112223,0.02755304
Petaluma,CA,38.2423,-122.6267,66929,USC00046826,0.02445731
Redondo Beach,CA,33.8574,-118.3766,66749,USC00047326,0.023210558
Kenner,LA,30.0109,-90.2549,66340,USW00012916,0.026438133
Carbondale,IL,37.7221,-89.2238,65671,USC00111265,0.05864887
Great Falls,MT,47.5022,-111.2995,65131,USC00243753,0.094692872
Eden Prairie,MN,44.8488,-93.4595,64893,USW00094963,0.019969369
Grand Forks,ND,47.9218,-97.0886,64748,USC00323621,0.00890036
Haverhill,MA,42.7838,-71.0871,64014,USC00279278,0.171318777
Parkersburg,WV,39.2624,-81.542,62566,USW00013867,0.02397428
San Luis Obispo,CA,35.2669,-120.6691,62290,USC00047851,0.03936407
Sebring,FL,27.477,-81.453,62250,USC00082288,0.123230069
Moore,OK,35.3293,-97.4758,62055,USC00346382,0.094124425
Casa Grande,AZ,32.9068,-111.7624,61966,USC00021306,0.051456584
Rome,GA,34.2661,-85.1862,61537,USC00097600,0.037254262
Sanford,FL,28.7893,-81.276,61448,USC00087982,0.0254637
National City,CA,32.6654,-117.0983,61394,USC00041758,0.028309186
Morristown,TN,36.2046,-83.3006,61171,USC00406271,0.031969048
Gadsden,AL,34.009,-86.0156,60944,USC00013154,0.030647186
Hot Springs,AR,34.4892,-93.0501,60767,USC00033466,0.023741314
Woodland,CA,38.6712,-121.75,60598,USC00049781,0.045529002
Columbus,IN,39.2093,-85.9183,59897,USC00121747,0.043522982
Bangor,ME,44.8322,-68.7906,59772,USC00172440,0.577011343
Pontiac,MI,42.6493,-83.2878,59438,USC00206658,0.033963804
Staunton,VA,38.1593,-79.0611,59433,USC00448062,0.036582079
Apex,NC,35.7239,-78.8728,59300,USC00316122,0.060528355
Midland,MI,43.6241,-84.2319,58787,USC00205434,0.034390842
Carson City,NV,39.1512,-119.7474,58756,USC00261485,0.032952845
San Rafael,CA,37.9905,-122.5222,58440,USC00047880,0.016906803
Richland,WA,46.2824,-119.2938,58225,USC00457015,0.042432299
St. Peters,MO,38.7824,-90.6061,58212,USC00237475,0.02222281
Hendersonville,TN,36.3063,-86.5998,58113,USC00406803,0.058192955
Jefferson City,MO,38.5676,-92.1759,58025,USC00234271,0.018979718
Titusville,FL,28.5727,-80.8193,57891,USC00088942,0.051651234
Towson,MD,39.3944,-76.619,57817,USC00182308,0.054177535
Weymouth,MA,42.1984,-70.9466,57746,USC00193624,0.044441647
Palm Beach Gardens,FL,26.8466,-80.1679,57704,USC00086764,0.028018922
Bozeman,MT,45.6832,-111.0552,57695,USC00241044,0.022900218
Goldsboro,NC,35.3778,-77.972,57278,USC00313503,0.053656307
Manhattan,KS,39.1886,-96.6046,57046,USC00148259,0.059228709
Lake Havasu City,AZ,34.5006,-114.3113,56820,USC00024761,0.049163604
Grants Pass,OR,42.4333,-123.3317,55837,USC00353445,0.01361335
Blue Springs,MO,39.0124,-94.2721,55829,USC00230748,0.022455596
Pittsfield,MA,42.4517,-73.2605,55697,USW00014763,0.037858559
Grapevine,TX,32.9343,-97.0744,55281,USC00413691,0.025109759
Fond du Lac,WI,43.7718,-88.4396,55209,USC00472842,0.027388174
Delano,CA,35.767,-119.2637,54917,USC00042346,0.003921734
Normal,IL,40.5218,-88.9881,54469,USC00116200,0.047172167
Lewiston,ID,46.3934,-116.9934,53384,USW00024149,0.028868053
Grand Island,NE,40.9214,-98.3584,53296,USW00014935,0.060517214
Watertown,NY,43.9734,-75.9094,53163,USC00309000,0.034206724
Peabody,MA,42.5335,-70.9724,53070,USC00194744,0.075707992
Wylie,TX,33.0362,-96.5161,53067,USC00415094,0.030016662
Helena,MT,46.5965,-112.0202,52936,USW00024144,0.031990994
Summerville,SC,33.0015,-80.1799,52549,USC00388426,0.063235828
Lompoc,CA,34.6618,-120.4714,52020,USC00047681,0.099337887
Kentwood,MI,42.8852,-85.5925,51898,USC00206013,0.048461721
Sierra Vista,AZ,31.563,-110.3153,51731,USC00027880,0.04326205
Glendora,CA,34.1449,-117.8468,51544,USC00047779,0.061903877
Placentia,CA,33.8807,-117.8553,51233,USC00040192,0.020489998
West Lafayette,IN,40.4432,-86.9239,50996,USC00129435,0.031926478
Sahuarita,AZ,31.9323,-110.9654,50616,USC00023668,0.050870227
Traverse City,MI,44.7547,-85.6035,50522,USW00014850,0.038928428
Severn,MD,39.1355,-76.6958,50496,USW00093721,0.03959899
Galveston,TX,29.2487,-94.891,50446,USW00012923,0.03445083
Cookeville,TN,36.1484,-85.5114,50408,USC00402009,0.041694364
Bullhead City,AZ,35.1205,-114.546,50309,USC00021050,0.030579732
Stillwater,OK,36.1316,-97.074,50299,USC00348501,0.025294466
Azusa,CA,34.1386,-117.9124,49974,USC00047776,0.017321951
Morehead City,NC,34.7308,-76.7387,49760,USC00315830,0.004103657
Enid,OK,36.4061,-97.8701,49688,USC00342912,0.014073024
Oroville,CA,39.4999,-121.5634,49513,USC00046521,0.020615528
Wilson,NC,35.7312,-77.9284,49483,USC00319476,0.041299881
Lawrence,IN,39.8674,-85.9905,49462,USC00121326,0.062210128
Minot,ND,48.2375,-101.2781,49425,USC00325993,0.060120961
Poway,CA,32.9871,-117.0201,49323,USC00047248,0.070254466
San Jacinto,CA,33.797,-116.9916,49215,USC00047813,0.016307667
Newark,CA,37.5204,-122.0312,49149,USC00043244,0.026690822
Hollister,CA,36.8563,-121.3981,48992,USC00044025,0.024540579
Roswell,NM,33.373,-104.5294,48889,USC00290992,0.15220069
Rio Grande City,TX,26.3808,-98.8215,48610,USC00417622,0.010640489
Palm Springs,CA,33.8017,-116.5382,48518,USW00093138,0.039570045
Findlay,OH,41.0467,-83.6379,48469,USC00332791,0.024307406
Burleson,TX,32.517,-97.3343,48225,USC00411246,0.014497241
Cumberland,MD,39.6515,-78.7585,47980,USC00182282,0.009872168
Cedar Hill,TX,32.581,-96.9591,47930,USC00414597,0.061511056
Carrollton,GA,33.5817,-85.0837,47920,USC00091640,0.015826876
Niagara Falls,NY,43.0921,-79.0147,47720,USC00305840,0.043191897
East Honolulu,HI,21.2975,-157.7211,47540,USC00519980,0.064103822
Covina,CA,34.0903,-117.8817,47450,USC00042090,0.002178623
Danville,IL,40.1423,-87.6114,47059,USC00112145,0.043200116
Sandusky,OH,41.4437,-82.7149,46655,USW00014846,0.006552099
Salina,KS,38.8137,-97.6143,46550,USC00147159,0.030056114
Farmington,MO,37.7821,-90.4288,46331,USC00232809,0.021465388
Weatherford,TX,32.7536,-97.7723,46268,USC00419532,0.005777543
Roseburg,OR,43.2232,-123.3518,46228,USC00357331,0.027792042
Biloxi,MS,30.4422,-88.9512,46212,USC00220792,0.069862723
Leavenworth,KS,39.3239,-94.924,46192,USC00144589,0.046872167
Fort Pierce,FL,27.4256,-80.3431,46103,USC00083207,0.018027202
Oro Valley,AZ,32.4208,-110.9768,46044,USC00021357,0.046702998
Danville,VA,36.5831,-79.4087,45890,USW00013728,0.0744476
Wake Forest,NC,35.9629,-78.5141,45629,USC00312993,0.139949455
Tupelo,MS,34.2692,-88.7318,45466,USW00093862,0.040078953
Pine Bluff,AR,34.2116,-92.0178,45204,USW00093988,0.089215995
Hilo,HI,19.6886,-155.0864,45056,USW00021504,0.048276754
Lufkin,TX,31.3217,-94.7277,44867,USC00415427,0.020470711
Altadena,CA,34.1928,-118.1345,44850,USC00040144,0.011335299
Manitowoc,WI,44.0991,-87.6811,44770,USC00475017,0.031386566
Quincy,IL,39.9335,-91.3799,44466,USC00117077,0.057028502
Lancaster,OH,39.7249,-82.6049,44447,USC00334403,0.009604686
Prescott,AZ,34.585,-112.4475,44299,USC00026796,0.021010712
Eureka,CA,40.7942,-124.1568,44236,USW00024213,0.015868522
Bountiful,UT,40.8722,-111.8647,43981,USC00421446,0.065877384
Haltom City,TX,32.8176,-97.2707,43874,USC00413285,0.032036229
Adrian,MI,41.8994,-84.0446,43689,USC00200032,0.032950024
Concord,NH,43.2305,-71.5595,43627,USW00014745,0.062429234
Salem,MA,42.5129,-70.902,43226,USC00194502,0.039529736
Centralia,WA,46.7226,-122.9696,42922,USC00451276,0.01709883
Brentwood,TN,35.9918,-86.7758,42783,USC00401039,0.003224903
Apache Junction,AZ,33.3985,-111.5351,42571,USC00028214,0.159001541
Fairfield,OH,39.3301,-84.5409,42558,USC00332651,0.051876777
Hutchinson,KS,38.0671,-97.9081,42531,USC00143929,0.023318876
Huntsville,TX,30.705,-95.5544,42241,USC00414382,0.012391126
Beverly,MA,42.5681,-70.8627,42174,USC00190593,0.032424836
Clovis,NM,34.4376,-103.1923,42168,USC00291963,0.162947476
Weslaco,TX,26.1648,-97.9898,41629,USC00419588,0.023135254
Brighton,CO,39.9716,-104.7964,41554,USC00050950,0.048580758
Delaware,OH,40.2866,-83.0747,41283,USC00332124,0.071877265
Westfield,MA,42.1382,-72.7561,41204,USC00199193,0.065427594
Westerville,OH,40.1241,-82.9209,41103,USC00338951,0.023356584
Manassas,VA,38.7479,-77.4839,41085,USC00445204,0.016993802
Los Banos,CA,37.063,-120.8406,41036,USC00045119,0.212098114
Spanish Fork,UT,40.1101,-111.6406,40913,USC00428119,0.046906342
Columbia,TN,35.6235,-87.0486,40663,USC00401957,0.040521599
Bluefield,WV,37.2608,-81.2143,40640,USC00460925,0.013118308
Fitchburg,MA,42.5912,-71.8156,40638,USC00273658,0.192289172
Marion,IN,40.5496,-85.66,40588,USC00125337,0.03043222
Cedar Falls,IA,42.5195,-92.4534,40536,USW00094910,0.062684009
Marion,IA,42.045,-91.5846,40359,USC00131319,0.005780138
South Valley,NM,35.0092,-106.6819,40080,USC00290231,0.017186332
Cedar City,UT,37.6834,-113.0956,39995,USW00093129,0.023360796
San Gabriel,CA,34.0948,-118.099,39899,USC00047785,0.010679419
Muskogee,OK,35.7431,-95.3568,39789,USC00346130,0.041797249
Romeoville,IL,41.6318,-88.0996,39746,USC00117457,0.031299613
Plant City,FL,28.014,-82.1201,39744,USC00087205,0.019677096
Bartlesville,OK,36.7357,-95.9453,39301,USW00003959,0.074262739
Germantown,TN,35.0829,-89.7825,39225,USC00405956,0.051468923
Asheboro,NC,35.7158,-79.8129,39192,USC00310286,0.026279279
Culver City,CA,34.0058,-118.3968,39185,USC00042214,0.017118703
Brookfield,WI,43.064,-88.1231,39115,USC00471062,0.055649418
Crestview,FL,30.748,-86.5784,39072,USW00013884,0.065826157
Olive Branch,MS,34.961,-89.8469,38924,USC00226527,0.018701992
Enterprise,AL,31.3276,-85.8459,38914,USC00012675,0.061560539
Frankfort,KY,38.1924,-84.8643,38852,USC00153025,0.041016216
Clermont,FL,28.5402,-81.7259,38654,USC00081641,0.084437018
