USC00017025,"ROCK MILLS, AL US",33.158,-85.2911,228.6
USC00017131,"RUSSELLVILLE NUMBER 2, AL US",34.51,-87.7319,253
USC00017157,"SAINT BERNARD, AL US",34.1736,-86.8133,243.8
USC00017207,"SAND MOUNT SUBSTATION, AL US",34.2877,-85.968,362.7
USC00017304,"SCOTTSBORO, AL US",34.6736,-86.0536,187.5
USC00017366,"SELMA, AL US",32.411,-87.0144,44.8
USC00017734,"SPRINGVILLE, AL US",33.76,-86.40062,204.2
USC00017999,"SYLACAUGA 4 NE, AL US",33.2053,-86.2114,149.4
USC00018024,"TALLADEGA, AL US",33.4163,-86.135,136.6
USC00018038,"TALLAPOOSA WATER PLANT, AL US",32.4392,-86.2025,53.9
USC00018209,"THORSBY EXPERIMENTAL STATION, AL US",32.9205,-86.6708,207.3
USC00018323,"TROY, AL US",31.8075,-85.9722,165.2
USC00018380,"TUSCALOOSA ACFD, AL US",33.2119,-87.6161,51.5
USW00093806,"TUSCALOOSA AIRPORT ASOS, AL US",33.21217,-87.61552,45.3
USC00018385,"TUSCALOOSA OLIVER DAM, AL US",33.2097,-87.5936,46.3
USC00018517,"VERNON, AL US",33.7392,-88.1275,90.8
USC00018608,"WADLEY NR 2, AL US",33.13611,-85.58694,216.4
USC00018637,"WALLACE 2 E, AL US",31.2099,-87.1788,62.5
USC00018648,"WALNUT GROVE, AL US",34.0661,-86.3069,259.1
USC00018653,"WALNUT HILL 3 W, AL US",32.7028,-85.8936,125
USC00018673,"WARRIOR LOCK AND DAM, AL US",32.77472,-87.83056,33.5
USC00018809,"WEST BLOCTON, AL US",33.11861,-87.12645,161.5
USC00018812,"VINEMONT 2 NNW, AL US",34.25889,-86.89881,280.4
USC00018859,"WETUMPKA, AL US",32.5937,-86.1664,97.2
