Rochester,MN,44.0151,-92.4778,119942,RST,0.106866666
Kingsport,TN,36.5224,-82.5453,119666,TRI,0.143484458
Duluth,MN,46.7756,-92.1392,119476,DLH,0.074885962
North Charleston,SC,32.9066,-80.0722,115382,CHS,0.036206046
Clovis,CA,36.8278,-119.6831,114584,FAT,0.062645481
Ponce,PR,18.012,-66.6198,113401,PSE,0.056607591
Costa Mesa,CA,33.6667,-117.9135,113003,SNA,0.046992337
Santa Fe,NM,35.6619,-105.9819,111269,SAF,0.11152577
Jacksonville,NC,34.7288,-77.3941,108856,OAJ,0.23525218
Eau Claire,WI,44.8199,-91.4949,107404,EAU,0.044179291
Salisbury,MD,38.3756,-75.5867,106447,SBY,0.087113558
Sparks,NV,39.5729,-119.7157,105006,RNO,0.090108268
Wichita Falls,TX,33.9072,-98.5291,104683,SPS,0.068176417
Burbank,CA,34.1879,-118.3235,102511,BUR,0.029248898
San Angelo,TX,31.4424,-100.4506,101004,SJT,0.099870307
Idaho Falls,ID,43.4872,-112.0362,100442,IDA,0.04230298
Charlottesville,VA,38.0375,-78.4855,100416,CHO,0.107469488
Bismarck,ND,46.8144,-100.7694,98345,BIS,0.041050888
Florence,SC,34.1781,-79.7877,93131,FLO,0.061391404
Portsmouth,NH,43.058,-70.7826,93069,PSM,0.042941232
Missoula,MT,46.875,-114.0214,92895,MSO,0.076186445
Albany,GA,31.5776,-84.1762,89217,ABY,0.046904489
San Leandro,CA,37.7071,-122.1601,88815,OAK,0.059893008
State College,PA,40.7909,-77.8568,87723,SCE,0.060604035
Melbourne,FL,28.1085,-80.6627,83029,MLB,0.01904907
Flagstaff,AZ,35.1872,-111.6195,81974,FLG,0.069693389
Warwick,RI,41.7062,-71.4334,81004,PVD,0.018494571
Alexandria,LA,31.2923,-92.4702,80129,AEX,0.085556442
Valdosta,GA,30.8502,-83.2788,79820,VLD,0.061045069
Pharr,TX,26.1685,-98.1904,79112,MFE,0.049484661
Pasco,WA,46.2506,-119.1304,75432,PSC,0.017946748
Hilton Head Island,SC,32.1896,-80.7499,74139,HHH,0.063430234
Owensboro,KY,37.7574,-87.1173,74068,OWB,0.047389277
Wausau,WI,44.962,-89.6459,73593,RHI,0.689297491
Dothan,AL,31.2335,-85.4069,72396,DHN,0.091491482
Harrisonburg,VA,38.4361,-78.8735,72386,SHD,0.173895806
Daytona Beach,FL,29.1994,-81.0982,69186,DAB,0.042965827
Casper,WY,42.842,-106.3207,67598,CPR,0.154411157
Kenner,LA,30.0109,-90.2549,66340,MSY,0.020277187
North Little Rock,AR,34.7808,-92.2371,65903,LIT,0.052422569
Great Falls,MT,47.5022,-111.2995,65131,GTF,0.060430559
Grand Forks,ND,47.9218,-97.0886,64748,GFK,0.090467663
Elmira,NY,42.0938,-76.8097,62989,ELM,0.106583262
Waltham,MA,42.3889,-71.2423,62495,BED,0.086598947
San Luis Obispo,CA,35.2669,-120.6691,62290,SBP,0.039920758
Council Bluffs,IA,41.2369,-95.8517,62166,OMA,0.077482783
Sanford,FL,28.7893,-81.276,61448,SFB,0.043799325
Bangor,ME,44.8322,-68.7906,59772,BGR,0.035329153
Midland,MI,43.6241,-84.2319,58787,MBS,0.172467158
Twin Falls,ID,42.5645,-114.4615,55556,TWF,0.084406121
Grapevine,TX,32.9343,-97.0744,55281,DFW,0.048477137
Ithaca,NY,42.4442,-76.5032,55137,ITH,0.064775897
Brunswick,GA,31.145,-81.474,53914,BQK,0.11006163
Williamsport,PA,41.2398,-77.0371,53861,IPT,0.118412373
Pinellas Park,FL,27.8589,-82.7078,53637,PIE,0.056495472
West Sacramento,CA,38.5557,-121.5504,53519,SMF,0.14491924
Lewiston,ID,46.3934,-116.9934,53384,LWS,0.023989941
Grand Island,NE,40.9214,-98.3584,53296,GRI,0.062354529
Watertown,NY,43.9734,-75.9094,53163,ART,0.115798304
Helena,MT,46.5965,-112.0202,52936,HLN,0.032702715
Kentwood,MI,42.8852,-85.5925,51898,GRR,0.068275356
Madison,AL,34.7114,-86.7626,51593,HSV,0.072262564
New Bern,NC,35.0955,-77.0723,51308,EWN,0.037198268
Queen Creek,AZ,33.2386,-111.6343,50890,AZA,0.073629093
Traverse City,MI,44.7547,-85.6035,50522,TVC,0.027632987
Portage,MI,42.2,-85.5906,49445,AZO,0.050366799
Minot,ND,48.2375,-101.2781,49425,MOT,0.020802368
Roswell,NM,33.373,-104.5294,48889,ROW,0.070627755
Palm Springs,CA,33.8017,-116.5382,48518,PSP,0.042303569
Paducah,KY,37.0711,-88.6436,48481,PAH,0.124302567
Salina,KS,38.8137,-97.6143,46550,SLN,0.043181539
Hilo,HI,19.6886,-155.0864,45056,ITO,0.053975874
Quincy,IL,39.9335,-91.3799,44466,UIN,0.185798376
Prescott,AZ,34.585,-112.4475,44299,PRC,0.067923914
Hobbs,NM,32.7282,-103.16,42095,HOB,0.06512134
Grove City,OH,39.8659,-83.0694,41820,LCK,0.142093987
Moline,IL,41.4821,-90.4921,41356,MLI,0.036270139
Cedar Falls,IA,42.5195,-92.4534,40536,ALO,0.064618176
Clarksburg,WV,39.2863,-80.323,40403,CKB,0.092388928
Cedar City,UT,37.6834,-113.0956,39995,CDC,0.012604969
Security-Widefield,CO,38.7489,-104.7142,39612,COS,0.054070111
Kalispell,MT,48.2156,-114.3262,39182,FCA,0.117909504
Egypt Lake-Leto,FL,28.0177,-82.5062,37704,TPA,0.047602749
Meridian,MS,32.3846,-88.6896,36686,MEI,0.075448659
Richfield,MN,44.8762,-93.2833,36354,MSP,0.061612287
Gillette,WY,44.2752,-105.4983,36032,GCC,0.08332391
Meadow Woods,FL,28.3698,-81.3467,35726,MCO,0.064235009
Plainfield,IN,39.6953,-86.3717,35287,IND,0.079099583
Pleasant Hill,CA,37.954,-122.0759,34839,CCR,0.038904228
