01/01/2022,Dallas/Fort Worth International,KDFW,DFW,2022-01-01T19:14:00+00:00,Fort Lauderdale–Hollywood International,KFLL,FLL,British Airways,BAW,4806,BA4806,BAW4806,32.8998091,-97.0403352,DFW Airport
01/01/2022,San Francisco International,KSFO,SFO,2022-01-01T23:10:00+00:00,San Luis County Regional Airport,KSBP,SBP,Lufthansa,DLH,9376,LH9376,DLH9376,37.6213129,-122.3789554,California
01/01/2022,Chicago O'hare International,KORD,ORD,,Salt Lake City International,KSLC,SLC,SAS,SAS,8733,SK8733,SAS8733,41.98028,-87.9089979,Chicago
01/01/2022,Honolulu International,PHNL,HNL,2022-01-01T19:04:00+00:00,Hartsfield-jackson Atlanta International,KATL,ATL,Aeromexico,AMX,3656,AM3656,AMX3656,21.3186477,-157.9253031,Honolulu
01/01/2022,Seattle-Tacoma International,KSEA,SEA,2022-01-01T23:18:00+00:00,Eugene,KEUG,EUG,Qatar Airways,QTR,2116,QR2116,QTR2116,47.4502499,-122.3088165,Seattle
01/01/2022,George Bush Intercontinental,KIAH,IAH,2022-01-01T19:29:00+00:00,Chicago O'hare International,KORD,ORD,Lufthansa,DLH,7533,LH7533,DLH7533,29.9902199,-95.3367827,Houston
01/01/2022,Hartsfield-jackson Atlanta International,KATL,ATL,2022-01-01T20:38:00+00:00,Newark Liberty International,KEWR,EWR,Air Canada,ACA,3049,AC3049,ACA3049,33.6407282,-84.4277001,Atlanta
01/01/2022,Stewart,KSWF,SWF,,Greater Binghamton,KBGM,BGM,empty,,,,,41.4984032,-74.1008627,New Windsor
01/01/2022,John F Kennedy International,KJFK,JFK,2022-01-02T00:56:00+00:00,Logan International,KBOS,BOS,Aer Lingus,EIN,5018,EI5018,EIN5018,40.6413113,-73.7781383,New York
01/01/2022,Denver International,KDEN,DEN,2022-01-02T01:13:00+00:00,Orlando International,KMCO,MCO,Air Canada,ACA,5068,AC5068,ACA5068,39.8560963,-104.6737376,Denver
01/01/2022,Municipal/Baer Field,KFWA,FWA,2022-01-01T06:20:00+00:00,Charlotte Douglas,KCLT,CLT,American Airlines,AAL,5256,AA5256,AAL5256,40.9774796,-85.1960362,Fort Wayne
01/01/2022,Saipan International,PGSN,SPN,2022-01-01T07:17:00+00:00,Guam International,PGUM,GUM,United Airlines,UAL,117,UA117,UAL117,15.1197429,145.7282789,Northern Mariana Islands
01/01/2022,Guam International,PGUM,GUM,2022-01-01T09:30:00+00:00,Honolulu International,PHNL,HNL,United Airlines,UAL,200,UA200,UAL200,13.4856453,144.8001377,Chalan Pasaheru
01/01/2022,Louisville International (Standiford Field),KSDF,SDF,2022-01-01T02:48:00+00:00,Ted Stevens Anchorage International Airport,PANC,ANC,UPS Airlines,UPS,102,5X102,UPS102,38.175662,-85.7369231,Louisville
01/01/2022,Luis Munoz Marin International,TJSJ,SJU,,Miami International Airport,KMIA,MIA,Amerijet International,AJT,8543,M68543,AJT8543,18.4339085,-65.9956193,Carolina
01/01/2022,Port Columbus International,KCMH,CMH,,Lambert-St. Louis International,KSTL,STL,GoJet Airlines,GJS,4556,G74556,GJS4556,39.9999399,-82.8871767,Columbus
01/01/2022,Billings,KBIL,BIL,,Great Falls International Airport,KGTF,GTF,empty,,,,,45.8035081,-108.5379142,Billings
01/01/2022,Great Falls International Airport,KGTF,GTF,,Glacier Park International,KGPI,FCA,empty,,,,,47.4825016,-111.3566299,Great Falls
01/01/2022,John Wayne,KSNA,SNA,2022-01-01T19:43:00+00:00,Tucson International Airport,KTUS,TUS,Sawyer Aviation,SJA,19,,SJA19,33.6761901,-117.8674759,Santa Ana
01/01/2022,Minneapolis - St. Paul International,KMSP,MSP,,Chicago O'hare International,KORD,ORD,American Airlines,AAL,975,AA975,AAL975,44.8847554,-93.2222846,United States
01/01/2022,Los Angeles International,KLAX,LAX,2022-01-01T01:23:00+00:00,Will Rogers World Airport,KOKC,OKC,Delta Air Lines,DAL,8838,DL8838,DAL8838,33.9415889,-118.40853,Los Angeles
01/01/2022,Nashville International,KBNA,BNA,2022-01-01T02:35:00+00:00,Atlantic City International,KACY,ACY,empty,,,,,36.126317,-86.6773713,Nashville
01/01/2022,Borinquen,TJBQ,BQN,2022-01-01T02:16:00+00:00,Newark Liberty International,KEWR,EWR,United Airlines,UAL,1162,UA1162,UAL1162,18.4953813,-67.1355779,Aguadilla
01/01/2022,Sky Harbor International,KPHX,PHX,,Hartsfield-jackson Atlanta International,KATL,ATL,Delta Air Lines,DAL,940,DL940,DAL940,33.435249,-112.010124,Central City
01/01/2022,Detroit Metropolitan Wayne County,KDTW,DTW,2022-01-01T22:11:00+00:00,Logan International,KBOS,BOS,Air France,AFR,2157,AF2157,AFR2157,42.2162491,-83.3553642,West G Rogell Drive
