city,state_id,state_name,latitude,longitude,population
Fletcher,NC,North Carolina,35.4316,-82.5038,8369
Druid Hills,GA,Georgia,33.7842,-84.3273,8365
Baxter,MN,Minnesota,46.3426,-94.2793,8364
Seffner,FL,Florida,27.9981,-82.2735,8362
Millersville,PA,Pennsylvania,40.0047,-76.3522,8359
Wimauma,FL,Florida,27.6964,-82.3034,8358
Miramar Beach,FL,Florida,30.3854,-86.3443,8356
Hempstead,TX,Texas,30.1004,-96.0779,8355
Gulf Hills,MS,Mississippi,30.4365,-88.8149,8352
Buckhannon,WV,West Virginia,38.9927,-80.2282,8351
Kulpsville,PA,Pennsylvania,40.244,-75.3407,8348
Socorro,NM,New Mexico,34.0543,-106.9066,8348
West Livingston,TX,Texas,30.6957,-95.0097,8347
Tallulah,LA,Louisiana,32.4067,-91.1915,8346
Midway City,CA,California,33.7451,-117.9849,8343
Orono,MN,Minnesota,44.9657,-93.5908,8339
Bath,ME,Maine,43.9346,-69.8346,8338
Clover,SC,South Carolina,35.1125,-81.2203,8335
Bogota,NJ,New Jersey,40.875,-74.0293,8335
Garden City Park,NY,New York,40.7436,-73.6639,8335
Petoskey,MI,Michigan,45.365,-84.9887,8334
Grandview Heights,OH,Ohio,39.9793,-83.0408,8333
Harwood Heights,IL,Illinois,41.9663,-87.8057,8333
Beaver Falls,PA,Pennsylvania,40.762,-80.3225,8332
Tillamook,OR,Oregon,45.4562,-123.8331,8328
Oak Hills Place,LA,Louisiana,30.369,-91.0887,8326
Westwego,LA,Louisiana,29.9058,-90.1434,8326
Flowery Branch,GA,Georgia,34.1713,-83.9142,8325
St. Joseph,MI,Michigan,42.0967,-86.485,8317
Holly,MI,Michigan,42.7987,-83.6235,8313
Quincy,WA,Washington,47.2344,-119.8531,8313
Larkfield-Wikiup,CA,California,38.513,-122.7536,8312
Frostproof,FL,Florida,27.7493,-81.5252,8312
Dalhart,TX,Texas,36.0579,-102.5123,8310
Garrison,MD,Maryland,39.4023,-76.7514,8309
Gonzales,CA,California,36.506,-121.4429,8306
Orosi,CA,California,36.5434,-119.2903,8300
Runnemede,NJ,New Jersey,39.8521,-75.0739,8300
Bel Aire,KS,Kansas,37.7749,-97.2457,8300
Milton,WA,Washington,47.2522,-122.3156,8299
Aurora,MO,Missouri,36.9674,-93.7183,8297
Firebaugh,CA,California,36.8534,-120.4536,8296
Whitefish,MT,Montana,48.4329,-114.3591,8295
Mahtomedi,MN,Minnesota,45.0619,-92.966,8294
Haledon,NJ,New Jersey,40.9363,-74.1887,8293
West Vero Corridor,FL,Florida,27.6378,-80.4855,8292
Floris,VA,Virginia,38.9347,-77.4083,8291
Savannah,TN,Tennessee,35.221,-88.236,8288
Dormont,PA,Pennsylvania,40.3941,-80.0377,8282
Mount Joy,PA,Pennsylvania,40.1105,-76.5065,8278
McRae-Helena,GA,Georgia,32.0635,-82.8968,8277
Trinidad,CO,Colorado,37.175,-104.4908,8276
Kenton,OH,Ohio,40.6448,-83.6095,8276
Carl Junction,MO,Missouri,37.1668,-94.5468,8274
Alondra Park,CA,California,33.8885,-118.335,8272
Southeast Arcadia,FL,Florida,27.1862,-81.8521,8272
Paw Paw,MI,Michigan,42.2147,-85.8918,8270
Lake City,SC,South Carolina,33.8676,-79.7533,8268
Colorado City,AZ,Arizona,36.9774,-112.983,8258
Oak Grove,MO,Missouri,39.0077,-94.1283,8258
Moundsville,WV,West Virginia,39.9221,-80.7422,8252
Cumberland Hill,RI,Rhode Island,41.9736,-71.4605,8249
Four Corners,MD,Maryland,39.0235,-77.0102,8246
Montecito,CA,California,34.4382,-119.6286,8245
Denison,IA,Iowa,42.016,-95.3528,8244
Locust Grove,GA,Georgia,33.3442,-84.1071,8243
Half Moon,NC,North Carolina,34.8298,-77.4591,8243
Lugoff,SC,South Carolina,34.2216,-80.6849,8243
Fort Mitchell,KY,Kentucky,39.0459,-84.5563,8241
Manhattan,IL,Illinois,41.4274,-87.9805,8240
North Weeki Wachee,FL,Florida,28.5591,-82.5537,8238
Mammoth Lakes,CA,California,37.6273,-118.99,8235
Johnstown,NY,New York,43.0073,-74.3755,8230
Spotswood,NJ,New Jersey,40.3949,-74.392,8228
Waynesburg,PA,Pennsylvania,39.8983,-80.1855,8227
Thomson,GA,Georgia,33.4666,-82.4992,8225
Irondale,GA,Georgia,33.4773,-84.36,8224
Westlake Village,CA,California,34.1369,-118.822,8217
Castle Shannon,PA,Pennsylvania,40.3664,-80.0194,8216
Chester,IL,Illinois,37.9199,-89.8259,8213
Cheviot,OH,Ohio,39.1577,-84.6139,8209
Napoleon,OH,Ohio,41.3978,-84.1244,8207
Upper Saddle River,NJ,New Jersey,41.0633,-74.0986,8205
Mahopac,NY,New York,41.3684,-73.7401,8203
Temperance,MI,Michigan,41.7653,-83.5755,8201
Oberlin,OH,Ohio,41.2857,-82.2197,8199
Twin Lakes,CO,Colorado,39.8229,-105.0036,8196
Lake Norman of Catawba,NC,North Carolina,35.5995,-80.984,8196
Jefferson City,TN,Tennessee,36.1197,-83.4838,8194
Country Club Estates,GA,Georgia,31.2113,-81.4622,8194
Kenilworth,NJ,New Jersey,40.6781,-74.2889,8191
Ellsworth,ME,Maine,44.5847,-68.4875,8180
Wedgefield,FL,Florida,28.4847,-81.0808,8180
Monona,WI,Wisconsin,43.054,-89.3334,8175
Center Line,MI,Michigan,42.4805,-83.0274,8171
Venice Gardens,FL,Florida,27.0694,-82.4054,8171
Broadview Park,FL,Florida,26.0979,-80.2088,8169
Pismo Beach,CA,California,35.1484,-120.6492,8168
