City,IATA,ICAO,Name
Bangor,BGR,KBGR,Bangor International Airport
Portland,PWM,KPWM,Portland International Jetport
Presque Isle,PQI,KPQI,Presque Isle International Airport
Rockland,RKD,KRKD,Knox County Regional Airport
Baltimore,BWI,KBWI,Baltimore/Washington International Airport
Hagerstown,HGR,KHGR,Hagerstown Regional Airport (Richard A. Henson Field)
Salisbury,SBY,KSBY,Salisbury–Ocean City–Wicomico Regional Airport
Bedford,BED,KBED,Hanscom Field / Hanscom Air Force Base
Boston,BOS,KBOS,Gen. Edward Lawrence Logan International Airport
Hyannis,HYA,KHYA,Cape Cod Gateway Airport (Boardman/Polando Field)
Nantucket,ACK,KACK,Nantucket Memorial Airport
Provincetown,PVC,KPVC,Provincetown Municipal Airport
Vineyard Haven,MVY,KMVY,Martha's Vineyard Airport
Worcester,ORH,KORH,Worcester Regional Airport
Alpena,APN,KAPN,Alpena County Regional Airport
Detroit,DTW,KDTW,Detroit Metro Wayne County Airport
Escanaba,ESC,KESC,Delta County Airport
Flint,FNT,KFNT,Bishop International Airport
Grand Rapids,GRR,KGRR,Gerald R. Ford International Airport
Hancock,CMX,KCMX,Houghton County Memorial Airport
Iron Mountain,IMT,KIMT,Ford Airport
Kalamazoo,AZO,KAZO,Kalamazoo/Battle Creek International Airport
Lansing,LAN,KLAN,Capital Region International Airport (was Lansing Capital City)
Marquette,MQT,KSAW,Sawyer International Airport
Muskegon,MKG,KMKG,Muskegon County Airport
Pellston,PLN,KPLN,Pellston Regional/Emmet County Airport
Saginaw,MBS,KMBS,MBS International Airport
Sault Ste. Marie,CIU,KCIU,Chippewa County International Airport
Traverse City,TVC,KTVC,Cherry Capital Airport (was Cherry County Airpark)
Bemidji,BJI,KBJI,Bemidji Regional Airport
Brainerd,BRD,KBRD,Brainerd Lakes Regional Airport
Duluth,DLH,KDLH,Duluth International Airport
Hibbing,HIB,KHIB,Range Regional Airport (was Chisholm–Hibbing Airport)
International Falls,INL,KINL,Falls International Airport (Einarson Field)
Minneapolis-St. Paul,MSP,KMSP,Minneapolis–St. Paul International/Wold-Chamberlain Airport
Rochester,RST,KRST,Rochester International Airport
St. Cloud,STC,KSTC,St. Cloud Regional Airport
Columbus,GTR,KGTR,Golden Triangle Regional Airport
Gulfport / Biloxi,GPT,KGPT,Gulfport–Biloxi International Airport
Jackson,JAN,KJAN,Jackson–Medgar Wiley Evers International Airport
Meridian,MEI,KMEI,Key Field
Tupelo,TUP,KTUP,Tupelo Regional Airport (C.D. Lemons Field)
Columbia,COU,KCOU,Columbia Regional Airport
Joplin,JLN,KJLN,Joplin Regional Airport
Kansas City,MCI,KMCI,Kansas City International Airport (was Mid-Continent International)
St. Louis,STL,KSTL,St. Louis Lambert International Airport
Springfield,SGF,KSGF,Springfield–Branson National Airport
Billings,BIL,KBIL,Billings Logan International Airport
Bozeman,BZN,KBZN,Bozeman Yellowstone International Airport (was Gallatin Field)
Butte,BTM,KBTM,Bert Mooney Airport
Great Falls,GTF,KGTF,Great Falls International Airport
Helena,HLN,KHLN,Helena Regional Airport
Kalispell,FCA,KGPI,Glacier Park International Airport
Missoula,MSO,KMSO,Missoula Montana Airport (was Missoula International Airport)
Sidney,SDY,KSDY,Sidney-Richland Regional Airport
West Yellowstone,WYS,KWYS,Yellowstone Airport
Grand Island,GRI,KGRI,Central Nebraska Regional Airport
Lincoln,LNK,KLNK,Lincoln Airport (was Lincoln Municipal)
North Platte,LBF,KLBF,North Platte Regional Airport (Lee Bird Field)
Omaha,OMA,KOMA,Eppley Airfield
Scottsbluff,BFF,KBFF,Western Nebraska Regional Airport (William B. Heilig Field)
Boulder City,BLD,KBVU,Boulder City Municipal Airport
Elko,EKO,KEKO,Elko Regional Airport (J.C. Harris Field)
Las Vegas,LAS,KLAS,Harry Reid International Airport
Reno,RNO,KRNO,Reno/Tahoe International Airport
Lebanon,LEB,KLEB,Lebanon Municipal Airport
Manchester,MHT,KMHT,Manchester–Boston Regional Airport
Portsmouth,PSM,KPSM,Portsmouth International Airport at Pease
Atlantic City,ACY,KACY,Atlantic City International Airport
New York / Newark,EWR,KEWR,Newark Liberty International Airport
Trenton,TTN,KTTN,Trenton Mercer Airport
Albuquerque,ABQ,KABQ,Albuquerque International Sunport
Hobbs,HOB,KHOB,Lea County Regional Airport
Roswell,ROW,KROW,Roswell International Air Center
Santa Fe,SAF,KSAF,Santa Fe Regional Airport
Albany,ALB,KALB,Albany International Airport
Binghamton,BGM,KBGM,Greater Binghamton Airport (Edwin A. Link Field)
Buffalo,BUF,KBUF,Buffalo Niagara International Airport
Elmira,ELM,KELM,Elmira/Corning Regional Airport
Islip,ISP,KISP,Long Island MacArthur Airport
Ithaca,ITH,KITH,Ithaca Tompkins International Airport
New York,JFK,KJFK,John F. Kennedy International Airport (was New York International Airport)
New York,LGA,KLGA,LaGuardia Airport (and Marine Air Terminal)
Newburgh,SWF,KSWF,Stewart International Airport
Niagara Falls,IAG,KIAG,Niagara Falls International Airport
Ogdensburg,OGS,KOGS,Ogdensburg International Airport
Plattsburgh,PBG,KPBG,Plattsburgh International Airport
Rochester,ROC,KROC,Greater Rochester International Airport
Syracuse,SYR,KSYR,Syracuse Hancock International Airport
Watertown,ART,KART,Watertown International Airport
White Plains,HPN,KHPN,Westchester County Airport
Asheville,AVL,KAVL,Asheville Regional Airport
Charlotte,CLT,KCLT,Charlotte Douglas International Airport
Concord,USA,KJQF,Concord Regional Airport
Fayetteville,FAY,KFAY,Fayetteville Regional Airport (Grannis Field)
Greensboro,GSO,KGSO,Piedmont Triad International Airport
Greenville,PGV,KPGV,Pitt–Greenville Airport
Jacksonville,OAJ,KOAJ,Albert J. Ellis Airport
New Bern,EWN,KEWN,Coastal Carolina Regional Airport (was Craven County Regional)
Raleigh,RDU,KRDU,Raleigh–Durham International Airport
Wilmington,ILM,KILM,Wilmington International Airport
Bismarck,BIS,KBIS,Bismarck Municipal Airport
Dickinson,DIK,KDIK,Dickinson Theodore Roosevelt Regional Airport
Fargo,FAR,KFAR,Hector International Airport
Grand Forks,GFK,KGFK,Grand Forks International Airport
Jamestown,JMS,KJMS,Jamestown Regional Airport
Minot,MOT,KMOT,Minot International Airport
Williston,XWA,KXWA,Williston Basin International Airport
Akron,CAK,KCAK,Akron–Canton Airport
Cleveland,CLE,KCLE,Cleveland Hopkins International Airport
Columbus,CMH,KCMH,John Glenn Columbus International Airport
Columbus,LCK,KLCK,Rickenbacker International Airport
Dayton,DAY,KDAY,James M. Cox Dayton International Airport
Toledo,TOL,KTOL,Toledo Express Airport
Lawton,LAW,KLAW,Lawton–Fort Sill Regional Airport
Oklahoma City,OKC,KOKC,Will Rogers World Airport
Stillwater,SWO,KSWO,Stillwater Regional Airport
Tulsa,TUL,KTUL,Tulsa International Airport
Eugene,EUG,KEUG,Eugene Airport (Mahlon Sweet Field)
Medford,MFR,KMFR,Rogue Valley International–Medford Airport
North Bend,OTH,KOTH,Southwest Oregon Regional Airport (was North Bend Municipal)
Portland,PDX,KPDX,Portland International Airport
Redmond,RDM,KRDM,Redmond Municipal Airport (Roberts Field)
Allentown,ABE,KABE,Lehigh Valley International Airport (was Allentown–Bethlehem–Easton International Airport)
Erie,ERI,KERI,Erie International Airport (Tom Ridge Field)
Harrisburg,MDT,KMDT,Harrisburg International Airport
Latrobe,LBE,KLBE,Arnold Palmer Regional Airport
Philadelphia,PHL,KPHL,Philadelphia International Airport
Pittsburgh,PIT,KPIT,Pittsburgh International Airport
State College,SCE,KUNV,University Park Airport
Wilkes-Barre,AVP,KAVP,Wilkes-Barre/Scranton International Airport
Williamsport,IPT,KIPT,Williamsport Regional Airport
Block Island,BID,KBID,Block Island State Airport
Providence,PVD,KPVD,Rhode Island T. F. Green International Airport
Westerly,WST,KWST,Westerly State Airport
Charleston,CHS,KCHS,Charleston International Airport / Charleston AFB
Columbia,CAE,KCAE,Columbia Metropolitan Airport
Florence,FLO,KFLO,Florence Regional Airport
Greenville,GSP,KGSP,Greenville–Spartanburg International Airport (Roger Milliken Field)
Hilton Head,HHH,KHXD,Hilton Head Airport
Myrtle Beach,MYR,KMYR,Myrtle Beach International Airport
Aberdeen,ABR,KABR,Aberdeen Regional Airport
Pierre,PIR,KPIR,Pierre Regional Airport
Rapid City,RAP,KRAP,Rapid City Regional Airport
Sioux Falls,FSD,KFSD,Sioux Falls Regional Airport (Joe Foss Field)
Watertown,ATY,KATY,Watertown Regional Airport
Chattanooga,CHA,KCHA,Chattanooga Metropolitan Airport (Lovell Field)
Knoxville,TYS,KTYS,McGhee Tyson Airport
Memphis,MEM,KMEM,Memphis International Airport
Nashville,BNA,KBNA,Nashville International Airport (Berry Field)
Tri-Cities,TRI,KTRI,Tri-Cities Regional Airport (Tri-Cities Regional TN/VA)
Abilene,ABI,KABI,Abilene Regional Airport
Amarillo,AMA,KAMA,Rick Husband Amarillo International Airport
Austin,AUS,KAUS,Austin–Bergstrom International Airport
Beaumont,BPT,KBPT,Jack Brooks Regional Airport (was Southeast Texas Regional)
Brownsville,BRO,KBRO,Brownsville/South Padre Island International Airport
College Station,CLL,KCLL,Easterwood Airport (Easterwood Field)
Corpus Christi,CRP,KCRP,Corpus Christi International Airport
Dallas,DAL,KDAL,Dallas Love Field
Dallas,DFW,KDFW,Dallas/Fort Worth International Airport
El Paso,ELP,KELP,El Paso International Airport
Harlingen,HRL,KHRL,Valley International Airport
Houston,IAH,KIAH,George Bush Intercontinental Airport
Houston,HOU,KHOU,William P. Hobby Airport
Killeen,GRK,KGRK,Killeen–Fort Hood Regional Airport / Robert Gray Army Airfield
Laredo,LRD,KLRD,Laredo International Airport
Longview,GGG,KGGG,East Texas Regional Airport
Lubbock,LBB,KLBB,Lubbock Preston Smith International Airport
McAllen,MFE,KMFE,McAllen Miller International Airport
Midland / Odessa,MAF,KMAF,Midland International Air and Space Port
San Angelo,SJT,KSJT,San Angelo Regional Airport (Mathis Field)
San Antonio,SAT,KSAT,San Antonio International Airport
Tyler,TYR,KTYR,Tyler Pounds Regional Airport
Waco,ACT,KACT,Waco Regional Airport
Wichita Falls,SPS,KSPS,Wichita Falls Regional Airport / Sheppard Air Force Base
Cedar City,CDC,KCDC,Cedar City Regional Airport
Moab,CNY,KCNY,Canyonlands Field
Ogden,OGD,KOGD,Ogden-Hinckley Airport
Provo,PVU,KPVU,Provo Municipal Airport
Salt Lake City,SLC,KSLC,Salt Lake City International Airport
St. George,SGU,KSGU,St. George Regional Airport
Vernal,VEL,KVEL,Vernal Regional Airport (was Vernal-Uintah Co. Airport)
Burlington,BTV,KBTV,Burlington International Airport
Charlottesville,CHO,KCHO,Charlottesville–Albemarle Airport
Lynchburg,LYH,KLYH,Lynchburg Regional Airport (Preston Glenn Field)
Newport News,PHF,KPHF,Newport News/Williamsburg International Airport (Patrick Henry Field)
Norfolk,ORF,KORF,Norfolk International Airport
Richmond,RIC,KRIC,Richmond International Airport (Byrd Field)
Roanoke,ROA,KROA,Roanoke–Blacksburg Regional Airport (Woodrum Field)
Staunton / Waynesboro / Harrisonburg,SHD,KSHD,Shenandoah Valley Regional Airport
"Washington, D.C. / Arlington County",DCA,KDCA,Ronald Reagan Washington National Airport
"Washington, D.C. / Dulles / Chantilly",IAD,KIAD,Washington Dulles International Airport
Bellingham,BLI,KBLI,Bellingham International Airport
Eastsound,ESD,KORS,Orcas Island Airport
Friday Harbor,FRD,KFHR,Friday Harbor Airport
Pasco,PSC,KPSC,Tri-Cities Airport
"Pullman / Moscow, Idaho",PUW,KPUW,Pullman–Moscow Regional Airport
Seattle,BFI,KBFI,King County International Airport (Boeing Field)
Seattle / Tacoma (SeaTac),SEA,KSEA,Seattle–Tacoma International Airport
Spokane,GEG,KGEG,Spokane International Airport (Geiger Field)
Walla Walla,ALW,KALW,Walla Walla Regional Airport
Wenatchee,EAT,KEAT,Pangborn Memorial Airport
Yakima,YKM,KYKM,Yakima Air Terminal (McAllister Field)
Charleston,CRW,KCRW,Yeager Airport
Clarksburg,CKB,KCKB,North Central West Virginia Airport (was Harrison-Marion Regional)
Huntington,HTS,KHTS,Tri-State Airport (Milton J. Ferguson Field)
Lewisburg,LWB,KLWB,Greenbrier Valley Airport
Appleton,ATW,KATW,Appleton International Airport
Eau Claire,EAU,KEAU,Chippewa Valley Regional Airport
Green Bay,GRB,KGRB,Green Bay–Austin Straubel International Airport
La Crosse,LSE,KLSE,La Crosse Regional Airport
Madison,MSN,KMSN,Dane County Regional Airport (Truax Field)
Milwaukee,MKE,KMKE,Milwaukee Mitchell International Airport
Mosinee,CWA,KCWA,Central Wisconsin Airport
Rhinelander,RHI,KRHI,Rhinelander–Oneida County Airport
Casper,CPR,KCPR,Casper–Natrona County International Airport
Cody,COD,KCOD,Yellowstone Regional Airport
Gillette,GCC,KGCC,Gillette–Campbell County Airport
Jackson,JAC,KJAC,Jackson Hole Airport
Laramie,LAR,KLAR,Laramie Regional Airport
Riverton,RIW,KRIW,Central Wyoming Regional Airport (was Riverton Regional)
Rock Springs,RKS,KRKS,Southwest Wyoming Regional Airport (Rock Springs–Sweetwater County Airport)
Sheridan,SHR,KSHR,Sheridan County Airport
"Pago Pago, Tutuila",PPG,NSTU,Pago Pago International Airport
Agana / Tamuning,GUM,PGUM,Antonio B. Won Pat International Airport
"Obyan, Saipan Island",SPN,PGSN,Saipan International Airport (Francisco C. Ada)
Rota Island,ROP,PGRO,Rota International Airport
Tinian Island,TIQ,PGWT,Tinian International Airport (West Tinian)
Aguadilla,BQN,TJBQ,Rafael Hernández International Airport
Ceiba,NRR,TJRV,José Aponte de la Torre Airport
Culebra,CPX,TJCP,Benjamín Rivera Noriega Airport
Ponce,PSE,TJPS,Mercedita International Airport
San Juan / Carolina,SJU,TJSJ,Luis Muñoz Marín International Airport
San Juan / Miramar,SIG,TJIG,Fernando Luis Ribas Dominicci Airport (Isla Grande Airport)
Vieques,VQS,TJVQ,Antonio Rivera Rodríguez Airport
"Charlotte Amalie, St. Thomas",STT,TIST,Cyril E. King Airport
"Christiansted, St. Croix",STX,TISX,Henry E. Rohlsen Airport
